neighborhood,year,x,y,r,fill
Allston-Brighton,2016,750,1810,15,mediumaquamarine
Roxbury,2016,600,1790,15,mediumaquamarine
Jamaica Plain,2016,420,1800,15,mediumaquamarine
E. Boston,2016,410,1700,15,mediumaquamarine
Fenway-Kenmore,2016,400,2900,15,lightsalmon
Mattapan,2016,340,1350,15,mediumaquamarine
S. End,2016,330,3640,15,lightsalmon
Roslindale,2016,330,1600,15,mediumaquamarine
North End,2016,130,2350,15,lightslategray
Hyde Park,2016,320,1780,15,mediumaquamarine
W. Roxbury,2016,300,1600,15,mediumaquamarine
Back Bay,2016,500,2850,15,lightsalmon
Beacon Hill,2016,160,2450,15,lightslategray
Charlestown,2016,170,2600,15,lightsalmon
Chinatown,2016,40,2450,15,lightslategray
South Boston,2016,350,2500,15,lightsalmon
Misson Hill,2016,160,1810,15,mediumaquamarine
Dorchester,2016,1340,1900,15,mediumaquamarine