itemName,year,x,y,r,fill,fill-opacity
Allston-Brighton,2016,750,1810,10,mediumaquamarine,0.6
Roxbury,2016,600,1790,10,mediumaquamarine,0.6
Jamaica Plain,2016,420,1800,10,mediumaquamarine,0.6
E. Boston,2016,410,1700,10,mediumaquamarine,0.6
Fenway-Kenmore,2016,400,2900,10,lightsalmon,0.6
Mattapan,2016,340,1350,10,mediumaquamarine,0.6
S. End,2016,330,3640,10,lightsalmon,0.6
Roslindale,2016,330,1600,10,mediumaquamarine,0.6
North End,2016,130,2350,10,lightslategray,0.6
Hyde Park,2016,320,1780,10,mediumaquamarine,0.6
W. Roxbury,2016,300,1600,10,mediumaquamarine,0.6
Back Bay,2016,500,2850,10,lightsalmon,0.6
Beacon Hill,2016,160,2450,10,lightslategray,0.6
Charlestown,2016,170,2600,10,lightsalmon,0.6
Chinatown,2016,40,2450,10,lightslategray,0.6
South Boston,2016,350,2500,10,lightsalmon,0.6
Misson Hill,2016,160,1810,10,mediumaquamarine,0.6
Dorchester,2016,1340,1900,10,mediumaquamarine,0.6